代碼,類型,名稱,稅率類別,原價,分類,有庫存？,位置,屬性 1 名稱,屬性 1 值,屬性 1 可見,屬性 2 名稱,屬性 2 值,屬性 2 可見,圖片,商品說明,商品簡短描述
,variable,2024秋 刺繡字母刷刷布縮口運動褲 3色,,,"VIVID-I,bottom下身",1,0,尺寸,"XS,S,M,L,XL,JS,JM",1,顏色,"粉,米,深藍",1,https://wababewa.com/collections/%E6%96%B0%E5%93%81-%EF%BD%8E%EF%BD%85%EF%BD%97/products/%E9%A0%90%E8%B3%BC-kids%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%85%AC%E4%B8%BB%E6%A3%89%E8%B3%AA%E6%B4%8B%E8%A3%9D-3colors-2-3-2-2-2-1-1-1-2-1-1-1-1-1-2-1-1-2-2-1-1-1-3-1-1-4-1-1-1-2-1-1-2-2-1-1-2-2-2-4-1-1-2-1-2-1-1-1-2-2-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-2-2-1-3-1-1,"<table style=""height: 193px; width: 36.3987%; border-collapse: collapse;"" cellspacing=""200"">
<tbody>
<tr style=""height: 24px;"">
<td style=""height: 24px; border-style: double; text-align: center; width: 42.7686%;"" colspan=""3"">VIVID-I</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">75-90cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">8-10kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">S</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">90-100cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">10-15kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">M</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">100-105cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">15-17kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">L</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">105-110cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">17-20kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XL</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">110-120cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">20-22kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 25px;"">JS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 25px;"">120-128cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 25px;"">22-27kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 24px;"">JM</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">128-135cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">27-31kg</td>
</tr>
</tbody>
</table>
&nbsp;<img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_1.jpg"" alt=""這款刺繡字母刷刷布縮口運動褲3色，為孩子的幼兒園兒童增添設計感。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_2.jpg"" alt=""刺繡字母刷刷布縮口運動褲3色，靈感來自於兒童必備。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_3.jpg"" alt=""刺繡字母刷刷布縮口運動褲3色，讓每個孩子看起來更款。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_4.jpg"" alt=""刺繡字母刷刷布縮口運動褲3色讓孩子在款中閃耀。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_5.jpg"" alt=""穿著刺繡字母刷刷布縮口運動褲3色，讓孩子在百搭中更加自信。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_6.jpg"" alt=""刺繡字母刷刷布縮口運動褲3色，融合小孩與設計感，增添個性。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_7.jpg"" alt=""這款刺繡字母刷刷布縮口運動褲3色，為兒童帶來設計感風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_8.jpg"" alt=""選擇刺繡字母刷刷布縮口運動褲3色，享受幼兒園必備與帥氣的魅力。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_9.jpg"" alt=""刺繡字母刷刷布縮口運動褲3色讓孩子在幼兒園必備中閃耀。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋刺繡字母刷刷布縮口運動褲3色_10.jpg"" alt=""穿上刺繡字母刷刷布縮口運動褲3色，孩子們會愛上兒童必備的感覺。"" width=""100%"">",<ul><li>商品預購約需7-30個工作天（不含假日）。</li><li>尺寸表僅供品牌參考，實際穿著效果可能因孩子身型差異有所不同。</li><li>CherryTwins 與韓國童裝市場同步更新商品，賣場大部分商品為預購型態，現貨將另行註明。</li><li>部分實拍商品及文案屬於 CherryTwins 所有，賣場商品圖及MD實穿照片由韓國品牌方提供。</li></ul>
,variation,2024秋 刺繡字母刷刷布縮口運動褲 3色,parent,338,VIVID-I,1,1,尺寸,,,顏色,,,,,
,variation,2024秋 刺繡字母刷刷布縮口運動褲 3色 - JS,parent,388,VIVID-I,1,0,尺寸,JS,,顏色,,,,,
,variation,2024秋 刺繡字母刷刷布縮口運動褲 3色 - JM,parent,388,VIVID-I,1,0,尺寸,JM,,顏色,,,,,
,variable,2024秋 褲管小花邊休閒喇叭褲 3色,,,"VIVID-I,bottom下身",1,0,尺寸,"XS,S,M,L,XL,JS,JM",1,顏色,"藍,粉,黑",,https://wababewa.com/collections/%E6%96%B0%E5%93%81-%EF%BD%8E%EF%BD%85%EF%BD%97/products/%E9%A0%90%E8%B3%BC-kids%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%85%AC%E4%B8%BB%E6%A3%89%E8%B3%AA%E6%B4%8B%E8%A3%9D-3colors-2-3-2-2-2-1-1-1-2-1-1-1-1-1-2-1-1-2-2-1-1-1-3-1-1-4-1-1-1-2-1-1-2-2-1-1-2-2-2-4-1-1-2-1-2-1-1-1-2-2-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-2-2-1-3-1-1-1-1-2,"<table style=""height: 193px; width: 36.3987%; border-collapse: collapse;"" cellspacing=""200"">
<tbody>
<tr style=""height: 24px;"">
<td style=""height: 24px; border-style: double; text-align: center; width: 42.7686%;"" colspan=""3"">VIVID-I</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">75-90cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">8-10kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">S</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">90-100cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">10-15kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">M</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">100-105cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">15-17kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">L</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">105-110cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">17-20kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XL</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">110-120cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">20-22kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 25px;"">JS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 25px;"">120-128cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 25px;"">22-27kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 24px;"">JM</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">128-135cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">27-31kg</td>
</tr>
</tbody>
</table>
&nbsp;<img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_1.jpg"" alt=""選擇褲管小花邊休閒喇叭褲3色，享受幼兒園必備與顯瘦的魅力。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_2.jpg"" alt=""褲管小花邊休閒喇叭褲3色，每一刻都充滿超好看。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_3.jpg"" alt=""褲管小花邊休閒喇叭褲3色是幼兒園必備必備的單品。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_4.jpg"" alt=""褲管小花邊休閒喇叭褲3色，展現了款和秋款的獨特風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_5.jpg"" alt=""選擇褲管小花邊休閒喇叭褲3色，享受百搭與秋款的魅力。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_6.jpg"" alt=""褲管小花邊休閒喇叭褲3色，融合寶貝與秋款，增添個性。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_7.jpg"" alt=""褲管小花邊休閒喇叭褲3色，融合寶貝與百搭，增添個性。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_8.jpg"" alt=""褲管小花邊休閒喇叭褲3色，展現了兒童必備和女童必備的獨特風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_9.jpg"" alt=""這款褲管小花邊休閒喇叭褲3色，為兒童帶來百搭風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_10.jpg"" alt=""這款褲管小花邊休閒喇叭褲3色，為超好看帶來百搭風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_11.jpg"" alt=""褲管小花邊休閒喇叭褲3色，讓每個孩子看起來更小孩。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊休閒喇叭褲3色_12.jpg"" alt=""穿上褲管小花邊休閒喇叭褲3色，孩子們會愛上寶貝的感覺。"" width=""100%"">",<ul><li>商品預購約需7-30個工作天（不含假日）。</li><li>尺寸表僅供品牌參考，實際穿著效果可能因孩子身型差異有所不同。</li><li>CherryTwins 與韓國童裝市場同步更新商品，賣場大部分商品為預購型態，現貨將另行註明。</li><li>部分實拍商品及文案屬於 CherryTwins 所有，賣場商品圖及MD實穿照片由韓國品牌方提供。</li></ul>
,variation,2024秋 褲管小花邊休閒喇叭褲 3色,parent,588,VIVID-I,1,1,尺寸,,,顏色,,,,,
,variation,2024秋 褲管小花邊休閒喇叭褲 3色 - JS,parent,658,VIVID-I,1,0,尺寸,JS,,顏色,,,,,
,variation,2024秋 褲管小花邊休閒喇叭褲 3色 - JM,parent,658,VIVID-I,1,0,尺寸,JM,,顏色,,,,,
,variable,2024秋 褲管微捲邊喇叭牛仔褲 3色 ,,,"VIVID-I,bottom下身",1,0,尺寸,"XS,S,M,L,XL,JS,JM",1,顏色,"藍,深藍,黑",,https://wababewa.com/collections/%E6%96%B0%E5%93%81-%EF%BD%8E%EF%BD%85%EF%BD%97/products/%E9%A0%90%E8%B3%BC-kids%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%85%AC%E4%B8%BB%E6%A3%89%E8%B3%AA%E6%B4%8B%E8%A3%9D-3colors-2-3-2-2-2-1-1-1-2-1-1-1-1-1-2-1-1-2-2-1-1-1-3-1-1-4-1-1-1-2-1-1-2-2-1-1-2-2-2-4-1-1-2-1-2-1-1-1-2-2-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-2-2-1-3-1-1-1-1-2-1,"<table style=""height: 193px; width: 36.3987%; border-collapse: collapse;"" cellspacing=""200"">
<tbody>
<tr style=""height: 24px;"">
<td style=""height: 24px; border-style: double; text-align: center; width: 42.7686%;"" colspan=""3"">VIVID-I</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">75-90cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">8-10kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">S</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">90-100cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">10-15kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">M</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">100-105cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">15-17kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">L</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">105-110cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">17-20kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XL</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">110-120cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">20-22kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 25px;"">JS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 25px;"">120-128cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 25px;"">22-27kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 24px;"">JM</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">128-135cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">27-31kg</td>
</tr>
</tbody>
</table>
&nbsp;<img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_1.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色讓孩子在寶貝中閃耀。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_2.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色，讓每個孩子看起來更超好看。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_3.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色，讓每個孩子看起來更兒童。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_4.jpg"" alt=""穿著褲管微捲邊喇叭牛仔褲3色，讓孩子在寶貝中更加自信。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_5.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色是小孩必備的單品。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_6.jpg"" alt=""時尚的褲管微捲邊喇叭牛仔褲3色，完美結合幼兒園兒童與顯瘦。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_7.jpg"" alt=""時尚的褲管微捲邊喇叭牛仔褲3色，完美結合兒童必備與顯瘦。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_8.jpg"" alt=""穿著褲管微捲邊喇叭牛仔褲3色，讓孩子在小孩中更加自信。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_9.jpg"" alt=""這款褲管微捲邊喇叭牛仔褲3色，為孩子的小孩增添女童必備。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_10.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色帶來百搭的舒適感受。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_11.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色，靈感來自於幼兒園兒童。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管微捲邊喇叭牛仔褲3色_12.jpg"" alt=""褲管微捲邊喇叭牛仔褲3色，展現了兒童必備和女童必備的獨特風格。"" width=""100%"">",<ul><li>商品預購約需7-30個工作天（不含假日）。</li><li>尺寸表僅供品牌參考，實際穿著效果可能因孩子身型差異有所不同。</li><li>CherryTwins 與韓國童裝市場同步更新商品，賣場大部分商品為預購型態，現貨將另行註明。</li><li>部分實拍商品及文案屬於 CherryTwins 所有，賣場商品圖及MD實穿照片由韓國品牌方提供。</li></ul>
,variation,2024秋 褲管微捲邊喇叭牛仔褲 3色 ,parent,349,VIVID-I,1,1,尺寸,,,顏色,,,,,
,variation,2024秋 褲管微捲邊喇叭牛仔褲 3色 - JS,parent,379,VIVID-I,1,0,尺寸,JS,,顏色,,,,,
,variation,2024秋 褲管微捲邊喇叭牛仔褲 3色 - JM,parent,379,VIVID-I,1,0,尺寸,JM,,顏色,,,,,
,variable,2024秋 褲管小花邊棉質喇叭褲 3色 ,,,"VIVID-I,bottom下身",1,0,尺寸,"XS,S,M,L,XL,JS,JM",1,顏色,"粉,奶白,黑",,https://wababewa.com/collections/%E6%96%B0%E5%93%81-%EF%BD%8E%EF%BD%85%EF%BD%97/products/%E9%A0%90%E8%B3%BC-kids%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%85%AC%E4%B8%BB%E6%A3%89%E8%B3%AA%E6%B4%8B%E8%A3%9D-3colors-2-3-2-2-2-1-1-1-2-1-1-1-1-1-2-1-1-2-2-1-1-1-3-1-1-4-1-1-1-2-1-1-2-2-1-1-2-2-2-4-1-1-2-1-2-1-1-1-2-2-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-2-2-1-3-1-1-1-1-2-2,"<table style=""height: 193px; width: 36.3987%; border-collapse: collapse;"" cellspacing=""200"">
<tbody>
<tr style=""height: 24px;"">
<td style=""height: 24px; border-style: double; text-align: center; width: 42.7686%;"" colspan=""3"">VIVID-I</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">75-90cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">8-10kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">S</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">90-100cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">10-15kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">M</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">100-105cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">15-17kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">L</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">105-110cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">17-20kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XL</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">110-120cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">20-22kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 25px;"">JS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 25px;"">120-128cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 25px;"">22-27kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 24px;"">JM</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">128-135cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">27-31kg</td>
</tr>
</tbody>
</table>
&nbsp;<img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_1.jpg"" alt=""褲管小花邊棉質喇叭褲3色是寶貝必備的單品。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_2.jpg"" alt=""這款褲管小花邊棉質喇叭褲3色，為孩子的幼兒園必備增添顯腿長。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_3.jpg"" alt=""褲管小花邊棉質喇叭褲3色，展現了百搭和女童必備的獨特風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_4.jpg"" alt=""褲管小花邊棉質喇叭褲3色是小孩必備的單品。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_5.jpg"" alt=""褲管小花邊棉質喇叭褲3色，每一刻都充滿款。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_6.jpg"" alt=""褲管小花邊棉質喇叭褲3色，讓每個孩子看起來更小孩。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_7.jpg"" alt=""選擇褲管小花邊棉質喇叭褲3色，享受寶貝與女生的魅力。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_8.jpg"" alt=""讓褲管小花邊棉質喇叭褲3色成為超好看的最愛，因為它百搭。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_9.jpg"" alt=""褲管小花邊棉質喇叭褲3色，讓每個孩子看起來更幼兒園兒童。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_10.jpg"" alt=""褲管小花邊棉質喇叭褲3色帶來小孩的舒適感受。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_11.jpg"" alt=""穿上褲管小花邊棉質喇叭褲3色，孩子們會愛上小孩的感覺。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋褲管小花邊棉質喇叭褲3色_12.jpg"" alt=""選擇褲管小花邊棉質喇叭褲3色，享受百搭與百搭的魅力。"" width=""100%"">",<ul><li>商品預購約需7-30個工作天（不含假日）。</li><li>尺寸表僅供品牌參考，實際穿著效果可能因孩子身型差異有所不同。</li><li>CherryTwins 與韓國童裝市場同步更新商品，賣場大部分商品為預購型態，現貨將另行註明。</li><li>部分實拍商品及文案屬於 CherryTwins 所有，賣場商品圖及MD實穿照片由韓國品牌方提供。</li></ul>
,variation,2024秋 褲管小花邊棉質喇叭褲 3色 ,parent,,VIVID-I,1,1,尺寸,,,顏色,,,,,
,variation,2024秋 褲管小花邊棉質喇叭褲 3色 - JS,parent,,VIVID-I,1,0,尺寸,JS,,顏色,,,,,
,variation,2024秋 褲管小花邊棉質喇叭褲 3色 - JM,parent,,VIVID-I,1,0,尺寸,JM,,顏色,,,,,
